dd5af4c | Update AGENTS | Updated AGENTS.md | AGENTS.md | 2025-06-02T19:52:32Z
98191e9 | Merge task 17 | Merge branch features | AGENTS.md, TASKS.md, package.json, scripts/dev-deps.sh, scripts/try-cmd.js, src/components/OrderBookHeatmap.tsx | 2025-06-02T21:47:20Z
008cd8e | Add guide | Add auto-instruct codex doc | auto-instruct-codex.md | 2025-06-02T21:57:56Z
6b2492d | Add doc | Add newcodex1 markdown | newcodex1.md | 2025-06-02T22:11:54Z
314de5c | Docs | Add task queue and memory guide | AGENTS.md, TASKS.md, docs/CODEX_WORKFLOW.md, task_queue.json | 2025-06-02T22:37:12Z
796ed43 | Docs | Refine automation memory rules | AGENTS.md, TASKS.md | 2025-06-02T22:49:58Z
c409552 | Docs | Clarify commit-based memory | AGENTS.md, TASKS.md, docs/CODEX_WORKFLOW.md | 2025-06-02T23:04:53Z
ee5bc9e | Docs | Refine memory and task sync | AGENTS.md, TASKS.md | 2025-06-02T23:10:57Z
ab0b2fa | Docs | Refine memory and task sync | AGENTS.md, TASKS.md, logs/commit.log | 2025-06-02T23:21:07Z
5a61018 | Docs | Clarify persistent memory steps | AGENTS.md, TASKS.md | 2025-06-02T23:32:18Z
2e9e35e | Docs tasks | Expand task list granularity | TASKS.md | 2025-06-02T23:46:36Z
7f94b9c | Sync tasks | Updated task_queue.json to match granular checklist | task_queue.json | 2025-06-02T23:54:52Z
df3d2c4 | Memory sync | Record task sync | logs/commit.log, task_queue.json | 2025-06-02T23:57:11Z
7e84b40 | Bootstrap | Enable full automation loop | logs/commit.log, package.json | 2025-06-03T00:31:41Z
22d3a05 | Task 18 | Added Bybit liquidation WS feed and DataCollector forwarding | src/lib/data/bybitLiquidations.ts, src/lib/agents/DataCollector.ts, task_queue.json, TASKS.md | 2025-06-03T00:45:19Z
be5ea2f | Task 18 | Record task 18 completion | memory.log | 2025-06-03T00:45:30Z
b645986 | Task 19 | Added liquidation cluster aggregator and integrated into DataCollector | src/lib/liquidationClusters.ts, src/lib/agents/DataCollector.ts, task_queue.json, TASKS.md | 2025-06-03T00:46:20Z
ba0345d | Task 19 | Record task 19 completion | memory.log | 2025-06-03T00:46:30Z
6f32f4d | Task 20 | Added API and React overlay to display liquidation clusters | src/components/LiquidationClustersChart.tsx, src/app/api/liquidation-clusters/route.ts, src/app/page.tsx, task_queue.json, TASKS.md | 2025-06-03T00:47:44Z
b25124e | Task 20 | Record task 20 completion | memory.log | 2025-06-03T00:48:30Z
8490c24 | Tasks 21-27 | Added open interest fetch, delta chart, funding timer, and BB width alert | src/app/api/open-interest/route.ts etc. | 2025-06-03T00:49:46Z
bf91905 | Task 28 | Implemented volume profile API with hourly data | src/lib/data/coingecko.ts, src/app/api/volume-profile/route.ts, TASKS.md, task_queue.json | 2025-06-03T02:23:52Z
eee778d | Task 29 | Added volume peak distance component and API | AGENTS.md TASKS.md src/app/api/volume-profile/route.ts src/app/page.tsx src/components/VolumePeakDistance.tsx task_queue.json | 2025-06-03T03:02:04Z
a3ed0a6 | remove AI tools | cleaned leftover Genkit scripts and dependencies after deleting src/ai | package.json | 2025-06-03T03:36:48Z
b5ea277 | removed old liquidation modules | src/lib/data/bybitLiquidations.ts src/lib/liquidationClusters.ts | 2025-06-03T05:16:13Z
ffa63b7 | Task 30 | fetch 1h and 4h candles | TASKS.md, src/app/api/higher-candles/route.ts, src/lib/data/binanceCandles.ts, task_queue.json | 2025-06-03T05:28:46Z
2813caa | Task 31 | Removed obsolete migrate-memory script | scripts/migrate-memory.js | 2025-06-03T11:06:03Z
668e0c0 | fix(signals) | update last task completion to 31 | signals.json | 2025-06-03T11:23:26Z
574856c | add append-memory helper | scripts/append-memory.sh, PERSISTENT_MEMORY_GUIDE.md | 2025-06-03T14:18:37Z
229b8e4 | mem-001 context snapshot | AGENTS.md, context.snapshot.md | 2025-06-03T13:50:25Z
994a3c9 | mem-002 script docs and guide note | AGENTS.md, PERSISTENT_MEMORY_GUIDE.md, README.md | 2025-06-03T14:09:45Z
6e882f0 | chore log update | PERSISTENT_MEMORY_GUIDE.md, logs/commit.log, memory.log, scripts/append-memory.sh | 2025-06-03T14:19:26Z
59778e6 | improve memory append durability | PERSISTENT_MEMORY_GUIDE.md, scripts/append-memory.sh | 2025-06-03T14:38:41Z
949ea11 | mem-002 allow memory.log edits | PERSISTENT_MEMORY_GUIDE.md, context.snapshot.md, scripts/append-memory.sh | 2025-06-03T14:47:56Z
2819790 | mem-004 update DocAgent protocol | PERSISTENT_MEMORY_GUIDE.md | 2025-06-03T15:43:31Z
4387741 | mem-006 clarify DocAgent role | AGENTS.md | 2025-06-03T16:00:20Z
3d7205c | chore log update | logs/commit.log, memory.log | 2025-06-03T16:00:36Z
08da8e8 | chore log update | memory.log | 2025-06-03T16:01:12Z
d022778 | mem-004 refine DocAgent protocol | AGENTS.md, PERSISTENT_MEMORY_GUIDE.md, context.snapshot.md | 2025-06-03T16:09:21Z
66b6689 | mem-007 add CODEX_START instructions | CODEX_START.md | 2025-06-03T17:09:43Z
53a7019 | mem-008 remove outdated memory guide | PERSISTENT_MEMORY_GUIDE.md | 2025-06-03T17:10:43Z
e2f193e | docs(memory) enforce context snapshot updates | AGENTS.md, context.snapshot.md, logs/commit.log, memory.log | 2025-06-03T17:16:24Z
9a1c1ad | docs(memory) align with CODEX_START | AGENTS.md, context.snapshot.md, logs/commit.log, memory.log | 2025-06-03T17:35:02Z
3ef091d | docs(memory) backfill snapshot | AGENTS.md, context.snapshot.md, logs/commit.log, memory.log | 2025-06-03T17:47:45Z
e6aa08f | docs(memory) record mem-008 snapshot backfill | context.snapshot.md, logs/commit.log, memory.log | 2025-06-03T17:51:30Z
334e253 | chore(memory) log mem-009 entry | context.snapshot.md, logs/commit.log, memory.log | 2025-06-03T17:52:26Z
b0aa95e | docs(tasks) categorize persistent memory | TASKS.md, task_queue.json | 2025-06-03T19:34:41Z
854808e | chore(memory) add codex context helper script | scripts/codex_context.sh,TASKS.md | 2025-06-03T19:42:58Z
351641e | chore(memory) add codex npm script | package.json,TASKS.md | 2025-06-03T19:43:38Z
2e5ebf5 | chore(memory) refine tasks template | TASKS.md | 2025-06-03T19:45:47Z
9013ea9 | chore(memory) document codex workflow | AGENTS.md | 2025-06-03T19:44:17Z
e5ffe2f | chore(memory) document codex usage | README.md,TASKS.md | 2025-06-03T19:46:27Z
df2da62 | chore(memory) refine codex context helper | scripts/codex_context.sh,TASKS.md,task_queue.json | 2025-06-03T21:13:34Z
c5f74b9 | chore(memory) enhance npm codex alias | package.json,TASKS.md,task_queue.json | 2025-06-03T21:14:33Z
fea2e33 | chore(memory) expand workflow notes in AGENTS.md | AGENTS.md,TASKS.md,task_queue.json | 2025-06-03T21:15:04Z
f753b32 | chore(memory) clarify TASKS guidance | TASKS.md,task_queue.json | 2025-06-03T21:15:36Z
f5e545e | chore(memory) extend README memory section | README.md,TASKS.md,task_queue.json | 2025-06-03T21:16:15Z
38b4d2b | mem-021 restore CODEX_START instructions | CODEX_START.md | 2025-06-03T23:05:26Z
bb9b876 | docs(memory): clean persistent memory guide | memorymaker.md | 2025-06-03T23:19:59Z
0ff8ebb | initial scaffold | .gitignore, .idx/dev.nix, README.md, components.json, next.config.ts, package-lock.json, package.json, postcss.config.mjs, src/ai/dev.ts, src/ai/genkit.ts, src/app/favicon.ico, src/app/globals.css, src/app/layout.tsx, src/app/page.tsx, src/components/ui/accordion.tsx, src/components/ui/alert-dialog.tsx, src/components/ui/alert.tsx, src/components/ui/avatar.tsx, src/components/ui/badge.tsx, src/components/ui/button.tsx, src/components/ui/calendar.tsx, src/components/ui/card.tsx, src/components/ui/chart.tsx, src/components/ui/checkbox.tsx, src/components/ui/dialog.tsx, src/components/ui/dropdown-menu.tsx, src/components/ui/form.tsx, src/components/ui/input.tsx, src/components/ui/label.tsx, src/components/ui/menubar.tsx, src/components/ui/popover.tsx, src/components/ui/progress.tsx, src/components/ui/radio-group.tsx, src/components/ui/scroll-area.tsx, src/components/ui/select.tsx, src/components/ui/separator.tsx, src/components/ui/sheet.tsx, src/components/ui/sidebar.tsx, src/components/ui/skeleton.tsx, src/components/ui/slider.tsx, src/components/ui/switch.tsx, src/components/ui/table.tsx, src/components/ui/tabs.tsx, src/components/ui/textarea.tsx, src/components/ui/toast.tsx, src/components/ui/toaster.tsx, src/components/ui/tooltip.tsx, src/hooks/use-mobile.tsx, src/hooks/use-toast.ts, src/lib/utils.ts, tailwind.config.ts, tsconfig.json | 2025-05-15T18:14:26+00:00
33391af | Update app | .modified, docs/blueprint.md, src/ai/dev.ts, src/ai/flows/market-sentiment-analysis.ts, src/app/globals.css, src/app/layout.tsx, src/app/page.tsx, src/components/DashboardHeader.tsx, src/components/DataCard.tsx, src/components/ValueDisplay.tsx, src/types/index.ts, tailwind.config.ts | 2025-05-21T12:46:03+00:00
4a1991c | I need you to only grab FREE api data with lowest usage to prevent ERRORS, and don't let page ever be blank, use last known values always | src/app/page.tsx, src/types/index.ts | 2025-05-21T13:04:37+00:00
3d8e0b1 | I see this error with the app, reported by NextJS, please fix it. The error is reported as HTML but presented visually to the user). | next.config.ts | 2025-05-21T13:04:54+00:00
1dc3d78 | edit error | next.config.ts | 2025-05-21T13:06:17+00:00
b3a3068 | I see this error with the app, reported by NextJS, please fix it. The error is reported as HTML but presented visually to the user). | src/app/page.tsx | 2025-05-21T13:14:59+00:00
5a5fb78 | make sure SPY and SPX use real current data as best it can, remember everything has to use FREE API with low usage and checking websites for current data | src/app/page.tsx | 2025-05-21T13:17:52+00:00
672098b | why error, my api key is correct | .vscode/settings.json, src/app/page.tsx | 2025-05-21T13:24:10+00:00
764fbe8 | why this: "Notice: Failed to fetch stock data from FMP: (status 403)." | src/app/page.tsx | 2025-05-21T13:25:50+00:00
728f906 | only look at this as reference to make sure api works fine: "Based on the sources, here are the instructions necessary to get SPY (as an ETF) and SPX (as the S&P 500 index, using the symbol `^GSPC` as indicated in the sources) data from the FMP API, which you can provide to your developer. | src/app/page.tsx | 2025-05-21T13:32:18+00:00
3c0c115 | I see this error with the app, reported by NextJS, please fix it. The error is reported as HTML but presented visually to the user). | src/app/page.tsx | 2025-05-21T13:34:15+00:00
f1588d1 | I see this error with the app, reported by NextJS, please fix it. The error is reported as HTML but presented visually to the user). | src/app/page.tsx | 2025-05-21T13:36:26+00:00
d93cc5c | make each box have a quick 1 click close and open, where it just shrinks and verything can be moved by mouse click and drag | src/components/DataCard.tsx | 2025-05-21T13:48:16+00:00
2b05f3a | ok ONLY DO THIS, the collapse works, I want the box to shrink up to where the shrinking happens | src/components/DataCard.tsx | 2025-05-21T13:50:17+00:00
24366b6 | make sure the 7 coins are on bottom of page | src/app/page.tsx | 2025-05-21T13:52:32+00:00
53a81b7 | ok add DXY and US10Y and put them next to the SPX | src/ai/flows/market-sentiment-analysis.ts, src/app/page.tsx, src/types/index.ts | 2025-05-21T14:01:35+00:00
7d6e31c | ok remove anything that we are not using | src/components/DataCard.tsx | 2025-05-21T14:24:16+00:00
c91a650 | don't fetch DXY and US10YY from FMP, get it from any other free place and limit any calls or usage to no more than 1 per minute | src/app/page.tsx | 2025-05-21T14:30:27+00:00
31a48b4 | integrate a free way get those results in US dollar and 10 year treasury | src/app/page.tsx | 2025-05-21T14:33:37+00:00
